Temas / Subtemas | r01e00000fe4e6676dda470b898e584a4a1047312
Acción exterior  | r01e00000ff26d461e3a470b89602cd52e9b70e15 | 1
Relaciones internacionales | r01e00000ff26d46232a470b833a1237442afbb51 | 2
Colectividades vascas en el exterior | r01e00000ff26d46232a470b8698daec48e96768d | 2
Asuntos europeos | r01e00000ff26d46232a470b89e7c621c0827981c | 2
Actividades Económicas | r01e000000ff26d46212a470b8d48bb3416b64da7 | 1
Agricultura, Ganadería y Forestal | r01e00000ff26d46251a470b81d4575171a3f94f1 | 2
Agroalimentación | r01e00000ff26d46260a470b82043400c8af39732 | 2
Comercio | r01e00000ff26d46251a470b88468d07873a13d8e | 2
Comercio Exterior | r01e00000ff26d46251a470b869e0a8c6ce98d581 | 2
Construcción | r01e4CB37BBE5DC852931897CEC9281BB5CDAFEEC35E | 2
Consumo | r01e00000ff26d46251a470b8e32a824c59811d75 | 2
Desarrollo Rural | r01e00000ff26d46260a470b895f0b3cddefc0bea | 2
Energía | r01e00000ff26d46251a470b853f0bc63bc1e7d39 | 2
Entidades de Crédito, Seguros y Servicios Financieros | r01e00000ff26d46251a470b86daad086302afc9b | 2
Industria | r01e00000ff26d46251a470b86b97a33338f9eb01 | 2
Informática y Telecomunicaciones | r01e00000ff26d46251a470b8192837da9739ac29 | 2
Investigación e innovación tecnológica | r01e00000ff26d46251a470b8881287d77e37d6f1 | 2
Minería | r01e00000ff26d46251a470b86db5866492aff057 | 2
Pesca | r01e00000ff26d46260a470b87c960d09d591812a | 2
Polígonos e infraestructuras industriales | r01e0BA786103117BC813F036F3EEFDDACE870E3A4E0 | 2
Turismo | r01e00000ff26d46251a470b8eec6d2aae38c782b | 2
Transportes | r01e00000ff26d46251a470b865b895b9813be988 | 2
Sociedad de la información | r01epd0115f50715c7642d91c668d52eb6eb979e6 | 2
Administración Pública | r01e00000ff26d461e3a470b8181621308b9c4fdf | 1
Administración Electrónica | r01e100D5FFB9ED890A9EBADB1BE1F5B09364602AC6B | 2
Articulación institucional | r01e80153C756A02386FA04006C96B624E660D7A96FD | 2
Atención y participación ciudadana | r01e00000fe4e66771ba470b86328a00a2e99d5d7 | 2
Calidad y evaluación de servicios y políticas | r01e00000ff26d46212a470b81be2e4106d8a4771 | 2
Compras y suministros | r01e00000ff26d46222a470b88ff08a00566bd937 | 2
Contratación, convenios y encomiendas de gestión | r01e00000ff26d46222a470b862dd3e4d8b0a0cf2 | 2
Estructura y organización | r01e0pd014ae3d015be168e9f84de53acab37b3795 | 2
Innovación Pública | r01e00000fe4e66771ba470b85476564feca0468f | 2
Órganos consultivos | r01e0pd014ae3d15987168e9f8ed009540872e197f | 2
Patrimonio | r01e0pd014ae3d475ac168e9f84924058b236b8b5b | 2
Planificación de políticas | r01e0pd014ae3d31e49168e9f8ae985cc5371c04ca | 2
Protección de datos | r01epd013af8d3caeb1db80229bd97c4ff08a63b3 | 2
Reclamaciones económico-administrativas | r01e00000ff26d46222a470b8e20c520eba3198e2 | 2
Presupuestos y gestión económica | r01e00000ff26d46212a470b8e3fac7212f9bfa9d | 2
Recursos Humanos, Función Pública, altos cargos y miembros del Gobierno | r01e00000ff26d46212a470b824142330609ed584 | 2
Tesorería, endeudamiento y prestación de garantías | r01e00000ff26d46212a470b8cb6daadfaa409792 | 2
Tributos | r01e00000ff26d46222a470b87266d32766e9e8c4 | 2
Asuntos sociales | r01e00000ff26d461e3a470b85bb78a80eb0d03b2 | 1
Familia | r01eB62A745AC23450DAC437E86C3C98D5EC37A626CF | 2
Adopción | r01e6D6E9A50B2D045A65FDD9875A7FCEA6334E2FDF5 | 2
Colectivos desfavorecidos | r01eF5A9C4ABA6003FCFFDF327716B12DFE3B5D0EEBE | 2
Parejas de hecho | r01e34A15CA91ABB092C03D07F4BB914163131331182 | 2
Pobreza | r01e000000ff26d46241a470b860ce45286d6c204 | 2
Infancia | r01e00000ff26d461a5a470b8147292fb8997ab6a | 2
Personas Mayores | r01e00000ff26d461b5a470b8e35e814894aead1e | 2
Integración cultural | r01eFE15BEE86B35740B1FDA38E43303E651FA82FEDF | 2
Drogodependencias / Adicciones | r01e00000ff26d46241a470b8ea48d8964327e701 | 2
Inmigración | r01e00000ff26d46241a470b86a8eabf91ff09016 | 2
Bienestar Social | r01e00000fe4e66771ba470b8d98390b941752ba1 | 2
Cooperación al desarrollo | r01e00000ff26d46232a470b88c9df4a8d5f468cd | 2
Voluntariado | r01e000000ff26d46241a470b89bd03219c91f91d | 2
Víctimas del Terrorismo | r01e00000ff26d46241a470b8ee17241518154325 | 2
Igualdad de mujeres y hombres | r01e00000ff26d46241a470b87b345608f53653cb | 2
Cultura | r01e00000ff26d46212a470b83de7fedc2cf6d8b0 | 1
Actividades artísticas y culturales | r01e00000ff26d4628fa470b8477fadf1a3eda16b | 2
Archivos | r01e483A674B31D11F8864140E8A86F5DA3AE66B06AF | 2
Bibliotecas | r01e7C92EF326C800EC5D77938C7CA1C2DCE06FC27AF | 2
Deportes | r01e00000ff26d4628fa470b8975afdd47e3e160a | 2
Juventud | r01e00000ff26d461b5a470b8d02b206e81ee3dbe | 2
Libro | r01e166BFB6968186626EAB845476A1FED43329B9E97 | 2
Museos | r01e00000ff26d4629fa470b8159f8767b40e9054 | 2
Medios de comunicación | r01e00000ff26d4629fa470b8c9ef9599d1c14ecb | 2
Patrimonio Histórico Artístico y Cultural | r01e00000ff26d4628fa470b8c36fde519856389f | 2
Educación | r01e00000fe4e66771ba470b8bb90b19f6ac6cf49 | 1
Alumnado | r01e00010944fcc14341a73b86dc81c7bab8cb4d3 | 2
Centros escolares | r01e000000ff26d4628fa470b8ab8b8149c755da8 | 2
Curso escolar no universitario: matriculación, calendarios, organización... | r01e00010944fd5fef4e57fe8bc3fdf4c443d2e07 | 2
Etapa infantil | r01e00010944fa149b44703fa7d05832d2c6c0a96 | 2
Etapa obligatoria: Primaria y Secundaria | r01e00010944faa7234da7fb98eb942f907427405 | 2
Etapa Postobligatoria: Bachillerato, Formación Profesional y Universidad | r01e00000ff26d4628fa470b87e492a04391c0591 | 2
Innovación educativa | r01e00010944fdc2d948bf4e02731bf8b16a49a90 | 2
Inspección de educación | r01e00010944fe3e0d4eac00d51688e98b9bc3c4f | 2
Otros estudios: Adultos, Idiomas, Iniciación Profesional, Deporte y Artísticos | r01e00000ff26d4628fa470b8904bd3088e58e998 | 2
Personal: docente y no docente | r01e00010944fc657245ac33e1ee1ca7225f1c7b5 | 2
Universidades e Investigación | r01e00010944fb97f3463ff84afd8b751d5919f19 | 2
Euskera  | r01e00000ff26d4628fa470b8acd3288a1e1eaf23 | 1
Aprendizaje del euskara | r01eB6315627CB127C62CEE52E3C81D83A7AB49495C6 | 2
Herramientas del euskara | r01eE2162E38FEA3E1480A3DC9C8F9AF160BA973936B | 2
Normalización lingüística | r01eE35B302320A098CAC200615AC556B8D3FDB8E038 | 2
Características lingüísticas | r01eA70CE9DB5EAB4EC4BBD531DFE12BDACB7ABF4D09 | 2
Sociolingüística del euskara | r01e7058C04B4818CDC9843F203EDA87A842696B94F0 | 2
Terminología y traducción | r01eE4119A6A7EBC7D096D0EB4745B2BF56AE2D13BB8 | 2
Títulos y perfiles lingüísticos | r01e9F6CDED11D6053D7CE723847B01DB11FD3AF6529 | 2
Infraestructura y Obras Públicas | r01e0BA0F2F2CC3F6B36D63366302AB989CE4FDE6F68 | 1
Edificios y Centros Públicos | r01e876926BB7808A4B98093C027C021C4E4290BE29E | 2
Equipamiento Público | r01eE960C118D828449DCEED4F7BFDDD20FE9522D4BB | 2
Infraestructura de Ferrocarriles | r01e00000ff26d4629fa470b8c6e2bb62c325f70a | 2
Infraestructura del transporte | r01e00000ff26d4629fa470b8d07d3b9f1b257081 | 2
Obras e instalaciones hidráulicas | r01e00000ff26d4629fa470b81c0340ed49d21767 | 2
Obras en la calzada | r01e42D85D5037226F86ADE19287150165B2AC9249EC | 2
Puertos Marítimos | r01e00000ff26d4629fa470b827078a19036ee25c | 2
Red viaria (Carreteras) | r01e00000ff26d4629fa470b89027c66c50682b1d | 2
Justicia | r01e00000ff26d461e3a470b8b2fe8507d17716aa | 1
Asistencia a la Ejecución Penal y a la Reinserción | r01eFB4A8A8740DDBCFE3CCB026BADAF1FF7FC621E8C | 2
Asistencia a la víctima | r01e54DF248ACE76D91F7F80E63D0FBF76731927DACC | 2
Asistencia jurídica gratuita | r01e55E2578CDD8B953ED9C5A4E3ACB92FCFF45E4336 | 2
Asistencia y Orientación Social al Detenido | r01e00000ff26d46232a470b8e015b322184fd1aa | 2
Convivencia y paz | r01epd012fd9f1ddd61d89c1b4f4fb076d655cee0 | 2
Derechos Humanos | r01e00000ff26d46232a470b8c5afdddff45efb4c | 2
Establecimientos penitenciarios | r01e00000ff26d46232a470b8ce65bb5b38265c4a | 2
Justicia juvenil | r01e00000ff26d46232a470b8baaf3af72e58b7f8 | 2
Medicina Legal | r01e08443EA72C5F7929B9591CA15F2C8BBD7678E124 | 2
Modernización de la Administración de Justicia | r01e7D4702FA661AABADE7FADB78E2498F2117C6CF59 | 2
Órganos Judiciales de Euskadi | r01e6766797612AB1BAD5999501815876B6540684B8F | 2
Organización de la Justicia en el Estado | r01e9F15B9F8D73EB375869C4416558ECC0077C896A7 | 2
Registro Civil | r01e0C1554050AAD2E427A6CBDEE6F8C10AAAB9B8D15 | 2
Registros Administrativos | r01epd01379c9a28791197a42d961d4eff963bfb4 | 2
Violencia doméstica | r01eEFDC963A0682424459EEEBCEC9834DD9A459272E | 2
Medio Ambiente | r01e00000ff26d46212a470b845ecb637861b7081 | 1
Aguas | r01e00000ff26d462afa470b859ac150984fa9809 | 2
